date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-18,AAPL,2025-05-02,160.00,Call,37.30,38.15,0.6491,0.9520,0.0039,-0.1179,0.0404,0.0614
2025-04-18,AAPL,2025-05-02,160.00,Put,0.52,0.56,0.6456,-0.0480,0.0038,-0.0839,0.0398,-0.0041
2025-04-18,AAPL,2025-05-02,165.00,Call,32.60,33.35,0.6204,0.9317,0.0053,-0.1401,0.0531,0.0617
2025-04-18,AAPL,2025-05-02,165.00,Put,0.75,0.79,0.6172,-0.0676,0.0053,-0.1047,0.0522,-0.0057
2025-04-18,AAPL,2025-05-02,172.50,Call,25.75,26.30,0.5749,0.8873,0.0083,-0.1765,0.0767,0.0610
2025-04-18,AAPL,2025-05-02,172.50,Put,1.29,1.35,0.5731,-0.1128,0.0084,-0.1423,0.0747,-0.0090
2025-04-18,AAPL,2025-05-02,177.50,Call,21.55,21.90,0.5606,0.8384,0.0110,-0.2114,0.0980,0.0588
2025-04-18,AAPL,2025-05-02,177.50,Put,1.86,1.96,0.5484,-0.1580,0.0111,-0.1709,0.0941,-0.0125
2025-04-18,AAPL,2025-05-02,180.00,Call,19.45,19.70,0.5351,0.8176,0.0124,-0.2177,0.1059,0.0580
2025-04-18,AAPL,2025-05-02,180.00,Put,2.23,2.33,0.5353,-0.1854,0.0126,-0.1843,0.1040,-0.0146
2025-04-18,AAPL,2025-05-02,185.00,Call,15.40,15.60,0.5152,0.7478,0.0155,-0.2447,0.1275,0.0540
2025-04-18,AAPL,2025-05-02,185.00,Put,3.20,3.30,0.5115,-0.2526,0.0157,-0.2093,0.1304,-0.0196
2025-04-18,AAPL,2025-05-02,190.00,Call,11.70,11.90,0.4898,0.6656,0.0186,-0.2604,0.1454,0.0489
2025-04-18,AAPL,2025-05-02,190.00,Put,4.50,4.60,0.4890,-0.3345,0.0188,-0.2258,0.1455,-0.0254
2025-04-18,AAPL,2025-05-02,192.50,Call,10.15,10.30,0.4802,0.6204,0.0199,-0.2657,0.1520,0.0459
2025-04-18,AAPL,2025-05-02,192.50,Put,5.35,5.45,0.4769,-0.3845,0.0203,-0.2302,0.1515,-0.0289
2025-04-18,AAPL,2025-05-02,197.50,Call,7.05,7.25,0.4571,0.5132,0.0219,-0.2604,0.1591,0.0385
