date,reference_start,target_range,field,value
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Rate: 25th percentile,471.21
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Rate: mean,481.98
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Rate: mode,498.33
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Rate: 75th percentile,518.52
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: cut,27.98
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: hike,45.18
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,0.76
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,1.37
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,1.99
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,2.14
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,1.70
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,1.36
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,3.59
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,13.89
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,28.22
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,27.03
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,13.36
2023-03-29,2023-06-21T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,4.60
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,420.12
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Rate: mean,455.93
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Rate: mode,510.56
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,534.53
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: cut,41.48
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: hike,45.10
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,0.55
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,0.58
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,0.62
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,0.66
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,0.75
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,0.91
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,1.20
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,1.68
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,2.28
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,2.80
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,3.00
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,2.85
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,2.80
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,3.65
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,6.15
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,10.13
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,13.95
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,15.38
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,13.44
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,9.30
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,5.10
2023-03-29,2023-09-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.23
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,365.95
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Rate: mean,428.39
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Rate: mode,492.07
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,525.40
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: cut,53.79
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: hike,35.45
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 0bps - 25bps,0.74
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 25bps - 50bps,0.87
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 50bps - 75bps,0.97
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,1.04
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,1.07
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,1.09
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,1.14
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,1.26
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,1.49
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,1.82
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,2.20
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,2.53
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,2.74
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,2.93
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,3.35
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,4.33
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,6.04
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,8.25
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,10.28
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,11.29
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,10.79
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,8.95
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,6.45
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,4.08
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.32
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 625bps - 650bps,1.26
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 650bps - 675bps,0.73
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,303.32
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: mean,391.98
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: mode,453.90
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,504.17
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: cut,66.72
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: hike,26.11
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 0bps - 25bps,0.99
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 25bps - 50bps,1.13
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 50bps - 75bps,1.27
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,1.41
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,1.54
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,1.66
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,1.77
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,1.90
