date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2026-02-05,SPY,2026-02-20,475.00,Call,201.12,203.93,0.6075,0.9984,0.0000,-0.0658,0.0070,0.1944
2026-02-05,SPY,2026-02-20,475.00,Put,0.06,0.07,0.6369,-0.0024,0.0000,-0.0217,0.0103,-0.0007
2026-02-05,SPY,2026-02-20,510.00,Call,166.25,169.01,0.5379,0.9961,0.0001,-0.0831,0.0158,0.2082
2026-02-05,SPY,2026-02-20,510.00,Put,0.11,0.12,0.5517,-0.0046,0.0001,-0.0340,0.0186,-0.0013
2026-02-05,SPY,2026-02-20,540.00,Call,136.38,139.18,0.4806,0.9914,0.0003,-0.1089,0.0321,0.2191
2026-02-05,SPY,2026-02-20,540.00,Put,0.19,0.20,0.4804,-0.0086,0.0003,-0.0506,0.0320,-0.0024
2026-02-05,SPY,2026-02-20,560.00,Call,116.51,119.30,0.4344,0.9865,0.0005,-0.1278,0.0474,0.2259
2026-02-05,SPY,2026-02-20,560.00,Put,0.27,0.28,0.4311,-0.0129,0.0005,-0.0648,0.0458,-0.0037
2026-02-05,SPY,2026-02-20,575.00,Call,102.78,103.33,0.4029,0.9800,0.0008,-0.1494,0.0664,0.2302
2026-02-05,SPY,2026-02-20,575.00,Put,0.36,0.37,0.3947,-0.0180,0.0008,-0.0789,0.0609,-0.0051
2026-02-05,SPY,2026-02-20,595.00,Call,83.02,83.56,0.3542,0.9679,0.0014,-0.1780,0.0988,0.2350
2026-02-05,SPY,2026-02-20,595.00,Put,0.55,0.57,0.3472,-0.0296,0.0014,-0.1047,0.0924,-0.0084
2026-02-05,SPY,2026-02-20,610.00,Call,68.33,68.87,0.3197,0.9514,0.0023,-0.2090,0.1383,0.2364
2026-02-05,SPY,2026-02-20,610.00,Put,0.83,0.85,0.3146,-0.0460,0.0022,-0.1355,0.1325,-0.0131
2026-02-05,SPY,2026-02-20,625.00,Call,52.71,55.51,0.2865,0.9229,0.0036,-0.2504,0.1983,0.2345
2026-02-05,SPY,2026-02-20,625.00,Put,1.36,1.39,0.2854,-0.0761,0.0036,-0.1819,0.2030,-0.0204
2026-02-05,SPY,2026-02-20,637.00,Call,42.49,43.33,0.2655,0.8811,0.0054,-0.3005,0.2727,0.2274
2026-02-05,SPY,2026-02-20,637.00,Put,2.14,2.17,0.2644,-0.1181,0.0054,-0.2317,0.2799,-0.0313
2026-02-05,SPY,2026-02-20,651.00,Call,30.14,30.91,0.2423,0.8012,0.0083,-0.3637,0.3828,0.2103
2026-02-05,SPY,2026-02-20,651.00,Put,3.72,3.77,0.2412,-0.1985,0.0084,-0.2949,0.3952,-0.0515
2026-02-05,SPY,2026-02-20,657.00,Call,25.17,25.90,0.2321,0.7536,0.0099,-0.3864,0.4327,0.1991
2026-02-05,SPY,2026-02-20,657.00,Put,4.74,4.78,0.2311,-0.2468,0.0100,-0.3179,0.4286,-0.0634
2026-02-05,SPY,2026-02-20,664.00,Call,19.70,20.39,0.2200,0.6856,0.0117,-0.4045,0.4870,0.1824
2026-02-05,SPY,2026-02-20,664.00,Put,6.25,6.31,0.2192,-0.3158,0.0119,-0.3367,0.4838,-0.0795
2026-02-05,SPY,2026-02-20,671.00,Call,14.97,15.10,0.2079,0.6026,0.0135,-0.4085,0.5291,0.1614
2026-02-05,SPY,2026-02-20,671.00,Put,8.21,8.27,0.2068,-0.4000,0.0138,-0.3409,0.5333,-0.0976
