date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2026-01-30,SPY,2026-02-13,500.00,Call,190.77,193.57,0.6120,0.9982,0.0001,-0.1259,0.0114,0.1907
2026-01-30,SPY,2026-02-13,500.00,Put,0.03,0.04,0.5721,-0.0015,0.0000,-0.0135,0.0067,-0.0004
2026-01-30,SPY,2026-02-13,520.00,Call,170.82,173.62,0.5596,0.9971,0.0001,-0.1336,0.0154,0.1981
2026-01-30,SPY,2026-02-13,520.00,Put,0.04,0.05,0.5203,-0.0021,0.0000,-0.0165,0.0090,-0.0005
2026-01-30,SPY,2026-02-13,555.00,Call,135.91,138.72,0.4638,0.9944,0.0002,-0.1473,0.0249,0.2108
2026-01-30,SPY,2026-02-13,555.00,Put,0.08,0.09,0.4389,-0.0044,0.0002,-0.0271,0.0176,-0.0012
2026-01-30,SPY,2026-02-13,570.00,Call,120.96,123.77,0.4233,0.9925,0.0004,-0.1545,0.0312,0.2160
2026-01-30,SPY,2026-02-13,570.00,Put,0.11,0.12,0.4047,-0.0063,0.0003,-0.0341,0.0241,-0.0017
2026-01-30,SPY,2026-02-13,590.00,Call,101.05,103.85,0.3704,0.9885,0.0006,-0.1667,0.0438,0.2226
2026-01-30,SPY,2026-02-13,590.00,Put,0.15,0.17,0.3545,-0.0096,0.0005,-0.0431,0.0350,-0.0026
2026-01-30,SPY,2026-02-13,605.00,Call,86.13,88.94,0.3311,0.9836,0.0009,-0.1784,0.0580,0.2270
2026-01-30,SPY,2026-02-13,605.00,Put,0.22,0.23,0.3197,-0.0144,0.0008,-0.0548,0.0495,-0.0039
2026-01-30,SPY,2026-02-13,625.00,Call,66.31,69.12,0.2810,0.9714,0.0017,-0.2016,0.0909,0.2314
2026-01-30,SPY,2026-02-13,625.00,Put,0.37,0.38,0.2731,-0.0262,0.0016,-0.0770,0.0822,-0.0070
2026-01-30,SPY,2026-02-13,635.00,Call,56.48,59.28,0.2575,0.9600,0.0025,-0.2192,0.1188,0.2321
2026-01-30,SPY,2026-02-13,635.00,Put,0.51,0.52,0.2511,-0.0372,0.0023,-0.0941,0.1101,-0.0100
2026-01-30,SPY,2026-02-13,650.00,Call,41.90,44.72,0.2248,0.9282,0.0045,-0.2577,0.1871,0.2293
2026-01-30,SPY,2026-02-13,650.00,Put,0.91,0.93,0.2202,-0.0687,0.0044,-0.1334,0.1919,-0.0172
2026-01-30,SPY,2026-02-13,664.00,Call,29.62,30.55,0.1937,0.8699,0.0081,-0.3010,0.2879,0.2189
2026-01-30,SPY,2026-02-13,664.00,Put,1.77,1.80,0.1942,-0.1328,0.0082,-0.1870,0.2969,-0.0326
2026-01-30,SPY,2026-02-13,671.00,Call,23.40,24.19,0.1798,0.8187,0.0108,-0.3261,0.3578,0.2078
2026-01-30,SPY,2026-02-13,671.00,Put,2.53,2.56,0.1817,-0.1865,0.0110,-0.2157,0.3744,-0.0450
2026-01-30,SPY,2026-02-13,678.00,Call,17.54,18.32,0.1682,0.7439,0.0141,-0.3499,0.4364,0.1902
2026-01-30,SPY,2026-02-13,678.00,Put,3.61,3.66,0.1682,-0.2609,0.0145,-0.2368,0.4429,-0.0611
2026-01-30,SPY,2026-02-13,685.00,Call,12.25,12.73,0.1544,0.6446,0.0178,-0.3546,0.5046,0.1660
2026-01-30,SPY,2026-02-13,685.00,Put,5.19,5.23,0.1543,-0.3631,0.0184,-0.2428,0.5102,-0.0812
2026-01-30,SPY,2026-02-13,692.00,Call,7.81,7.87,0.1417,0.5137,0.0208,-0.3343,0.5399,0.1331
2026-01-30,SPY,2026-02-13,692.00,Put,7.44,7.53,0.1392,-0.5003,0.0222,-0.2205,0.5379,-0.1028
2026-01-30,SPY,2026-02-13,699.00,Call,4.01,4.05,0.1261,0.3548,0.0218,-0.2693,0.5038,0.0924
2026-01-30,SPY,2026-02-13,699.00,Put,10.59,11.03,0.1233,-0.6764,0.0242,-0.1584,0.4887,-0.1145
2026-01-30,SPY,2026-02-13,706.00,Call,1.55,1.57,0.1117,0.1896,0.0179,-0.1690,0.3668,0.0496
2026-01-30,SPY,2026-02-13,706.00,Put,15.07,15.81,0.0963,-0.9256,0.0237,-0.0305,0.2095,-0.0493
2026-01-30,SPY,2026-02-13,713.00,Call,0.41,0.44,0.1011,0.0706,0.0098,-0.0745,0.1829,0.0185
2026-01-30,SPY,2026-02-13,713.00,Put,21.19,22.18,0.1011,-1.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,SPY,2026-02-13,720.00,Call,0.09,0.10,0.0967,0.0199,0.0036,-0.0249,0.0652,0.0052
2026-01-30,SPY,2026-02-13,720.00,Put,28.07,29.27,0.0967,-1.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,SPY,2026-02-13,735.00,Call,0.01,0.03,0.1203,0.0057,0.0010,-0.0102,0.0223,0.0015
2026-01-30,SPY,2026-02-13,735.00,Put,42.29,45.10,0.1203,-1.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,SPY,2026-02-13,745.00,Call,0.01,0.02,0.1381,0.0035,0.0005,-0.0074,0.0143,0.0009
2026-01-30,SPY,2026-02-13,745.00,Put,52.30,55.10,0.1381,-1.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,SPY,2026-02-13,760.00,Call,0.01,0.02,0.1714,0.0028,0.0003,-0.0076,0.0119,0.0007
2026-01-30,SPY,2026-02-13,760.00,Put,67.30,70.09,0.1714,-1.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,SPY,2026-02-13,780.00,Call,0.01,0.01,0.2032,0.0014,0.0001,-0.0049,0.0065,0.0003
2026-01-30,SPY,2026-02-13,780.00,Put,87.30,90.10,0.2032,-1.0000,0.0000,0.0000,0.0000,0.0000
2026-01-30,SPY,2026-02-13,795.00,Call,0.01,0.01,0.2032,0.0002,0.0000,-0.0010,0.0014,0.0000
