Index,name,value,term
2020-09-21,ZQU24.CBT.Open,99.94999694824219,2024 Sep
2020-09-21,ZQU24.CBT.High,99.98500061035156,2024 Sep
2020-09-21,ZQU24.CBT.Low,99.94999694824219,2024 Sep
2020-09-21,ZQU24.CBT.Close,99.98500061035156,2024 Sep
2020-09-21,ZQU24.CBT.Volume,0,2024 Sep
2020-09-21,ZQU24.CBT.Adjusted,99.98500061035156,2024 Sep
2020-09-22,ZQU24.CBT.Open,99.99500274658203,2024 Sep
2020-09-22,ZQU24.CBT.High,99.99500274658203,2024 Sep
2020-09-22,ZQU24.CBT.Low,99.99500274658203,2024 Sep
2020-09-22,ZQU24.CBT.Close,99.99500274658203,2024 Sep
2020-09-22,ZQU24.CBT.Volume,0,2024 Sep
2020-09-22,ZQU24.CBT.Adjusted,99.99500274658203,2024 Sep
2020-09-23,ZQU24.CBT.Open,99.98500061035156,2024 Sep
2020-09-23,ZQU24.CBT.High,99.98500061035156,2024 Sep
2020-09-23,ZQU24.CBT.Low,99.98500061035156,2024 Sep
2020-09-23,ZQU24.CBT.Close,99.98500061035156,2024 Sep
2020-09-23,ZQU24.CBT.Volume,0,2024 Sep
2020-09-23,ZQU24.CBT.Adjusted,99.98500061035156,2024 Sep
2020-09-24,ZQU24.CBT.Open,99.98500061035156,2024 Sep
2020-09-24,ZQU24.CBT.High,99.98500061035156,2024 Sep
2020-09-24,ZQU24.CBT.Low,99.98500061035156,2024 Sep
2020-09-24,ZQU24.CBT.Close,99.98500061035156,2024 Sep
2020-09-24,ZQU24.CBT.Volume,0,2024 Sep
2020-09-24,ZQU24.CBT.Adjusted,99.98500061035156,2024 Sep
2020-09-25,ZQU24.CBT.Open,99.98500061035156,2024 Sep
2020-09-25,ZQU24.CBT.High,99.98500061035156,2024 Sep
2020-09-25,ZQU24.CBT.Low,99.98500061035156,2024 Sep
2020-09-25,ZQU24.CBT.Close,99.98500061035156,2024 Sep
2020-09-25,ZQU24.CBT.Volume,0,2024 Sep
2020-09-25,ZQU24.CBT.Adjusted,99.98500061035156,2024 Sep
2020-09-28,ZQU24.CBT.Open,99.9800033569336,2024 Sep
2020-09-28,ZQU24.CBT.High,99.9800033569336,2024 Sep
2020-09-28,ZQU24.CBT.Low,99.9800033569336,2024 Sep
2020-09-28,ZQU24.CBT.Close,99.9800033569336,2024 Sep
2020-09-28,ZQU24.CBT.Volume,0,2024 Sep
2020-09-28,ZQU24.CBT.Adjusted,99.9800033569336,2024 Sep
2020-09-29,ZQU24.CBT.Open,99.9800033569336,2024 Sep
2020-09-29,ZQU24.CBT.High,99.9800033569336,2024 Sep
2020-09-29,ZQU24.CBT.Low,99.9800033569336,2024 Sep
