date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2026-01-01,XES,2026-01-16,60.00,Call,21.20,23.70,0.9664,0.9469,0.0060,-0.0392,0.0174,0.0243
2026-01-01,XES,2026-01-16,60.00,Put,0.00,0.75,1.1464,-0.0764,0.0072,-0.0893,0.0247,-0.0030
2026-01-01,XES,2026-01-16,65.00,Call,15.20,18.89,0.8387,0.9184,0.0100,-0.0528,0.0250,0.0254
2026-01-01,XES,2026-01-16,65.00,Put,0.05,0.35,0.9187,-0.0944,0.0106,-0.0842,0.0289,-0.0037
2026-01-01,XES,2026-01-16,69.00,Call,11.19,14.80,0.7366,0.8825,0.0151,-0.0642,0.0331,0.0257
2026-01-01,XES,2026-01-16,69.00,Put,0.00,0.75,0.7366,-0.1135,0.0151,-0.0774,0.0331,-0.0044
2026-01-01,XES,2026-01-16,70.00,Call,11.30,13.80,0.5972,0.9061,0.0157,-0.0400,0.0279,0.0271
2026-01-01,XES,2026-01-16,70.00,Put,0.00,0.75,0.6925,-0.1197,0.0167,-0.0757,0.0343,-0.0046
2026-01-01,XES,2026-01-16,72.00,Call,9.00,12.00,0.4992,0.9014,0.0195,-0.0334,0.0290,0.0279
2026-01-01,XES,2026-01-16,72.00,Put,0.00,0.75,0.6042,-0.1342,0.0208,-0.0719,0.0375,-0.0051
2026-01-01,XES,2026-01-16,74.00,Call,7.00,10.00,0.4196,0.8869,0.0258,-0.0307,0.0321,0.0282
2026-01-01,XES,2026-01-16,74.00,Put,0.00,0.75,0.5160,-0.1538,0.0266,-0.0675,0.0408,-0.0058
2026-01-01,XES,2026-01-16,75.00,Call,6.00,9.00,0.3796,0.8776,0.0302,-0.0292,0.0341,0.0283
2026-01-01,XES,2026-01-16,75.00,Put,0.00,0.75,0.4713,-0.1654,0.0306,-0.0651,0.0424,-0.0062
2026-01-01,XES,2026-01-16,77.00,Call,4.40,6.80,0.3231,0.8343,0.0439,-0.0320,0.0421,0.0276
2026-01-01,XES,2026-01-16,77.00,Put,0.00,0.95,0.4209,-0.2182,0.0407,-0.0694,0.0509,-0.0082
2026-01-01,XES,2026-01-16,79.00,Call,3.00,5.80,0.3792,0.6982,0.0529,-0.0618,0.0595,0.0232
2026-01-01,XES,2026-01-16,79.00,Put,0.25,1.50,0.3079,-0.2622,0.0614,-0.0571,0.0555,-0.0098
2026-01-01,XES,2026-01-16,80.00,Call,2.35,4.30,0.3108,0.6652,0.0675,-0.0522,0.0623,0.0225
2026-01-01,XES,2026-01-16,80.00,Put,0.70,1.60,0.3008,-0.3261,0.0696,-0.0622,0.0620,-0.0122
2026-01-01,XES,2026-01-16,81.00,Call,1.80,3.60,0.3080,0.5943,0.0726,-0.0566,0.0664,0.0202
2026-01-01,XES,2026-01-16,81.00,Put,0.20,2.70,0.2875,-0.3965,0.0778,-0.0643,0.0665,-0.0148
2026-01-01,XES,2026-01-16,82.00,Call,1.35,3.20,0.3238,0.5199,0.0710,-0.0627,0.0683,0.0177
2026-01-01,XES,2026-01-16,82.00,Put,1.40,3.00,0.3297,-0.4759,0.0701,-0.0761,0.0684,-0.0180
2026-01-01,XES,2026-01-16,83.00,Call,1.00,2.90,0.3435,0.4533,0.0667,-0.0674,0.0680,0.0155
2026-01-01,XES,2026-01-16,83.00,Put,1.00,4.00,0.2945,-0.5543,0.0778,-0.0689,0.0677,-0.0210
2026-01-01,XES,2026-01-16,84.00,Call,0.10,2.40,0.2966,0.3678,0.0735,-0.0555,0.0647,0.0127
2026-01-01,XES,2026-01-16,84.00,Put,2.20,4.00,0.2919,-0.6306,0.0748,-0.0663,0.0643,-0.0240
2026-01-01,XES,2026-01-16,85.00,Call,0.05,1.45,0.2644,0.2747,0.0730,-0.0440,0.0573,0.0095
2026-01-01,XES,2026-01-16,85.00,Put,2.80,4.90,0.3023,-0.6936,0.0671,-0.0648,0.0607,-0.0266
2026-01-01,XES,2026-01-16,87.00,Call,0.05,1.15,0.3183,0.2015,0.0511,-0.0456,0.0483,0.0070
2026-01-01,XES,2026-01-16,87.00,Put,4.30,6.70,0.3235,-0.7906,0.0511,-0.0585,0.0487,-0.0309
2026-01-01,XES,2026-01-16,89.00,Call,0.00,0.95,0.4646,0.2172,0.0366,-0.0707,0.0505,0.0074
2026-01-01,XES,2026-01-16,89.00,Put,5.50,7.90,0.4646,-0.7788,0.0366,-0.0818,0.0505,-0.0315
2026-01-01,XES,2026-01-16,90.00,Call,0.00,0.75,0.4591,0.1819,0.0333,-0.0629,0.0454,0.0062
2026-01-01,XES,2026-01-16,90.00,Put,6.40,9.80,0.3217,-0.9041,0.0297,-0.0384,0.0283,-0.0361
2026-01-01,XES,2026-01-16,95.00,Call,0.00,0.75,0.6200,0.1445,0.0212,-0.0740,0.0391,0.0048
2026-01-01,XES,2026-01-16,95.00,Put,11.40,14.00,0.6200,-0.8515,0.0212,-0.0845,0.0391,-0.0366
2026-01-01,XES,2026-02-20,65.00,Call,15.60,19.39,0.4624,0.9170,0.0099,-0.0137,0.0434,0.0810
2026-01-01,XES,2026-02-20,65.00,Put,0.00,0.75,0.5123,-0.0937,0.0105,-0.0261,0.0513,-0.0118
2026-01-01,XES,2026-02-20,69.00,Call,12.00,15.50,0.4109,0.8791,0.0151,-0.0182,0.0588,0.0818
2026-01-01,XES,2026-02-20,69.00,Put,0.05,1.05,0.3761,-0.0949,0.0146,-0.0195,0.0521,-0.0115
2026-01-01,XES,2026-02-20,70.00,Call,12.20,14.70,0.4865,0.8263,0.0165,-0.0312,0.0763,0.0762
2026-01-01,XES,2026-02-20,70.00,Put,0.10,1.35,0.3834,-0.1176,0.0166,-0.0232,0.0605,-0.0145
2026-01-01,XES,2026-02-20,72.00,Call,9.20,12.80,0.3706,0.8381,0.0207,-0.0214,0.0727,0.0810
2026-01-01,XES,2026-02-20,72.00,Put,0.30,2.00,0.3938,-0.1663,0.0205,-0.0302,0.0765,-0.0207
2026-01-01,XES,2026-02-20,74.00,Call,8.00,11.00,0.3768,0.7835,0.0246,-0.0279,0.0880,0.0768
2026-01-01,XES,2026-02-20,74.00,Put,0.05,2.00,0.3243,-0.1783,0.0261,-0.0262,0.0820,-0.0217
2026-01-01,XES,2026-02-20,75.00,Call,7.40,9.90,0.3636,0.7614,0.0270,-0.0288,0.0932,0.0754
2026-01-01,XES,2026-02-20,75.00,Put,0.95,1.45,0.3182,-0.2048,0.0290,-0.0280,0.0892,-0.0250
2026-01-01,XES,2026-02-20,77.00,Call,6.00,8.40,0.3565,0.7016,0.0310,-0.0327,0.1049,0.0706
2026-01-01,XES,2026-02-20,77.00,Put,0.40,3.00,0.3126,-0.2702,0.0343,-0.0322,0.1026,-0.0331
2026-01-01,XES,2026-02-20,79.00,Call,4.50,7.00,0.3382,0.6374,0.0355,-0.0342,0.1139,0.0652
2026-01-01,XES,2026-02-20,79.00,Put,1.00,4.00,0.3210,-0.3496,0.0374,-0.0371,0.1131,-0.0433
2026-01-01,XES,2026-02-20,80.00,Call,4.00,6.50,0.3443,0.5990,0.0360,-0.0364,0.1176,0.0615
2026-01-01,XES,2026-02-20,80.00,Put,2.00,3.30,0.2983,-0.3844,0.0415,-0.0358,0.1171,-0.0475
2026-01-01,XES,2026-02-20,81.00,Call,3.30,5.60,0.3219,0.5628,0.0393,-0.0348,0.1200,0.0585
2026-01-01,XES,2026-02-20,81.00,Put,2.40,4.00,0.3065,-0.4280,0.0415,-0.0378,0.1199,-0.0532
2026-01-01,XES,2026-02-20,82.00,Call,2.25,4.90,0.2908,0.5208,0.0441,-0.0318,0.1215,0.0549
2026-01-01,XES,2026-02-20,82.00,Put,2.10,4.90,0.2905,-0.4711,0.0443,-0.0365,0.1215,-0.0585
2026-01-01,XES,2026-02-20,83.00,Call,2.00,4.50,0.3017,0.4790,0.0426,-0.0334,0.1216,0.0505
2026-01-01,XES,2026-02-20,83.00,Put,3.30,5.00,0.2997,-0.5133,0.0430,-0.0378,0.1219,-0.0642
2026-01-01,XES,2026-02-20,84.00,Call,1.80,4.00,0.3071,0.4389,0.0414,-0.0339,0.1204,0.0464
2026-01-01,XES,2026-02-20,84.00,Put,3.90,6.00,0.3180,-0.5495,0.0402,-0.0397,0.1212,-0.0693
2026-01-01,XES,2026-02-20,85.00,Call,1.20,3.10,0.2752,0.3832,0.0448,-0.0295,0.1167,0.0410
2026-01-01,XES,2026-02-20,85.00,Put,4.40,6.80,0.3208,-0.5870,0.0391,-0.0395,0.1192,-0.0743
2026-01-01,XES,2026-02-20,87.00,Call,1.00,3.80,0.3532,0.3508,0.0339,-0.0374,0.1134,0.0369
