date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2026-01-01,XOP,2026-01-16,90.00,Call,34.20,39.00,1.0753,0.9554,0.0039,-0.1802,0.0289,0.0360
2026-01-01,XOP,2026-01-16,90.00,Put,0.00,4.80,1.9253,-0.1508,0.0046,-0.3641,0.0599,-0.0096
2026-01-01,XOP,2026-01-16,95.00,Call,29.00,33.95,0.8850,0.9564,0.0047,-0.1624,0.0284,0.0383
2026-01-01,XOP,2026-01-16,95.00,Put,0.00,4.80,1.7134,-0.1692,0.0057,-0.3398,0.0661,-0.0103
2026-01-01,XOP,2026-01-16,100.00,Call,24.05,29.00,0.7704,0.9386,0.0063,-0.1213,0.0335,0.0398
2026-01-01,XOP,2026-01-16,100.00,Put,0.00,1.20,0.7704,-0.0662,0.0064,-0.0753,0.0339,-0.0036
2026-01-01,XOP,2026-01-16,105.00,Call,19.10,24.00,0.6445,0.9310,0.0087,-0.1599,0.0384,0.0413
2026-01-01,XOP,2026-01-16,105.00,Put,0.05,0.27,0.6445,-0.0798,0.0089,-0.0714,0.0392,-0.0042
2026-01-01,XOP,2026-01-16,110.00,Call,14.35,19.00,0.5408,0.9040,0.0130,-0.1613,0.0478,0.0420
2026-01-01,XOP,2026-01-16,110.00,Put,0.08,0.30,0.5408,-0.1060,0.0130,-0.0768,0.0477,-0.0056
2026-01-01,XOP,2026-01-16,114.00,Call,10.44,15.00,0.4422,0.8730,0.0183,-0.1162,0.0558,0.0423
2026-01-01,XOP,2026-01-16,114.00,Put,0.10,4.80,0.4422,-0.1321,0.0186,-0.0721,0.0568,-0.0069
2026-01-01,XOP,2026-01-16,116.00,Call,8.50,13.00,0.3914,0.8556,0.0226,-0.1127,0.0608,0.0422
2026-01-01,XOP,2026-01-16,116.00,Put,0.20,0.50,0.3914,-0.1500,0.0230,-0.0686,0.0604,-0.0077
2026-01-01,XOP,2026-01-16,119.00,Call,5.55,10.44,0.3415,0.7999,0.0317,-0.1155,0.0744,0.0403
2026-01-01,XOP,2026-01-16,119.00,Put,0.01,4.80,0.3415,-0.2130,0.0338,-0.0645,0.0751,-0.0101
2026-01-01,XOP,2026-01-16,121.00,Call,4.00,8.90,0.3331,0.7321,0.0381,-0.1238,0.0871,0.0373
2026-01-01,XOP,2026-01-16,121.00,Put,0.05,1.14,0.3331,-0.2768,0.0392,-0.0804,0.0893,-0.0135
2026-01-01,XOP,2026-01-16,122.50,Call,2.70,7.50,0.2971,0.6864,0.0459,-0.1181,0.0936,0.0354
2026-01-01,XOP,2026-01-16,122.50,Put,0.01,4.80,0.2971,-0.3248,0.0475,-0.0750,0.0943,-0.0154
2026-01-01,XOP,2026-01-16,123.50,Call,2.35,7.00,0.3174,0.6358,0.0461,-0.1559,0.0994,0.0326
2026-01-01,XOP,2026-01-16,123.50,Put,0.07,5.00,0.3396,-0.4010,0.0472,-0.0788,0.0998,-0.0171
2026-01-01,XOP,2026-01-16,125.00,Call,1.65,6.00,0.3175,0.5648,0.0481,-0.1540,0.1038,0.0291
2026-01-01,XOP,2026-01-16,125.00,Put,1.85,4.95,0.3563,-0.4733,0.0471,-0.0836,0.1029,-0.0194
2026-01-01,XOP,2026-01-16,126.50,Call,0.10,4.95,0.2653,0.4818,0.0575,-0.1089,0.1048,0.0253
2026-01-01,XOP,2026-01-16,126.50,Put,0.01,4.80,0.4234,-0.5298,0.0396,-0.1022,0.1034,-0.0217
2026-01-01,XOP,2026-01-16,127.50,Call,1.22,5.00,0.3624,0.4560,0.0423,-0.1591,0.1042,0.0235
2026-01-01,XOP,2026-01-16,127.50,Put,0.50,5.40,0.3624,-0.5890,0.0475,-0.0785,0.0990,-0.0217
2026-01-01,XOP,2026-01-16,129.00,Call,0.05,4.80,0.3532,0.3888,0.0415,-0.1289,0.1007,0.0202
2026-01-01,XOP,2026-01-16,129.00,Put,1.91,6.50,0.2032,-0.7602,0.0762,-0.0321,0.0810,-0.0211
2026-01-01,XOP,2026-01-16,130.00,Call,0.68,2.50,0.6214,0.4339,0.0244,-0.2397,0.1033,0.0215
2026-01-01,XOP,2026-01-16,130.00,Put,2.06,7.00,0.6214,-0.5928,0.0258,-0.1575,0.1006,-0.0254
2026-01-01,XOP,2026-01-16,131.50,Call,0.01,4.80,0.6324,0.3992,0.0233,-0.2187,0.1015,0.0199
2026-01-01,XOP,2026-01-16,131.50,Put,3.50,8.00,0.6324,-0.6262,0.0250,-0.1551,0.0973,-0.0262
2026-01-01,XOP,2026-01-16,134.00,Call,0.34,0.95,0.6143,0.3395,0.0228,-0.2001,0.0962,0.0171
2026-01-01,XOP,2026-01-16,134.00,Put,5.50,10.40,0.6143,-0.6739,0.0235,-0.1584,0.0935,-0.0299
2026-01-01,XOP,2026-01-16,136.00,Call,0.01,4.80,0.5999,0.2928,0.0219,-0.1826,0.0903,0.0148
2026-01-01,XOP,2026-01-16,136.00,Put,7.50,12.00,0.5999,-0.7224,0.0227,-0.1410,0.0884,-0.0305
2026-01-01,XOP,2026-01-16,139.00,Call,0.01,4.80,0.5988,0.2372,0.0198,-0.1727,0.0808,0.0120
2026-01-01,XOP,2026-01-16,139.00,Put,10.05,14.95,0.5988,-0.8062,0.0221,-0.0936,0.0721,-0.0249
